Accommodation,Agent company name,Country,Course,Course Fee After Scholarships,Course Scholarships Applied,CourseFee,Dependant Children,Dependant Partner,Nationality,Recorded Video Interview,Student Deposit Amount,Uni Deposit Amount,University,age,dataset_year,email_proxy,first_name_proxy,last_name_proxy
,CRIZAC inc. Gateway & UCOL,India,MSc Human Resource Management,0.0,0,21250,No,No,Indian,Passed,0.0,0.0,missing,29.8,2022,email_00357,fname_00010,lname_00149
,,Zambia,BSc Business and Management,16300.0,0,16300,No,No,Zambian,Passed,0.0,0.0,missing,18.0,2022,email_00392,fname_00368,lname_00349
,SI-UK,India,MSc in Business Analytics,0.0,0,21250,No,No,Indian,Passed,0.0,0.0,missing,21.0,2022,email_00062,fname_00056,lname_00190
,,India,Master of Business Administration,28000.0,0,28000,No,No,Indian,Passed,0.0,0.0,missing,27.0,2022,email_00057,fname_00049,lname_00121
,SI-UK,India,MSc in Data Analytics - Full Time,0.0,0,17400,No,No,Indian,Passed,0.0,0.0,missing,23.9,2022,email_00350,fname_00329,lname_00267
,,Iran; Islamic Republic of,MSc in International Accounting and Finance,0.0,0,21250,No,No,Iranian,Passed,0.0,0.0,missing,23.5,2022,email_00280,fname_00255,lname_00128
,,Kenya,BSc International Business and Management,16300.0,0,16300,No,No,Israeli,Passed,0.0,0.0,missing,17.8,2022,email_00141,fname_00134,lname_00130
,,Nigeria,MSc in Data Analytics (including Professional Practice),19900.0,0,19900,Yes (3 children),Yes,Nigerian,Passed,0.0,0.0,missing,41.0,2022,email_00135,fname_00128,lname_00230
,,Nigeria,MSc in International Business,21250.0,0,21250,No,No,Nigerian,Passed,0.0,0.0,missing,30.7,2022,email_00102,fname_00090,lname_00218
,The Chopras (TC Global),India,MSc Human Resource Management,0.0,0,21250,No,No,Indian,Passed,0.0,0.0,missing,25.8,2022,email_00228,fname_00208,lname_00332
,CRIZAC inc. Gateway & UCOL,India,MSc in Business Analytics,0.0,0,21250,No,No,Indian,Passed,0.0,0.0,missing,23.2,2022,email_00049,fname_00045,lname_00150
,UKuni,Saudi Arabia,MSc in Supply Chain Management - Full Time,20250.0,0,20250,No,No,Saudi Arabian,Failed,0.0,0.0,missing,27.7,2022,email_00205,fname_00283,lname_00027
,IDP Education,India,MSc Strategic Digital Marketing,0.0,0,20250,No,No,Indian,Passed,0.0,0.0,missing,31.2,2022,email_00234,fname_00220,lname_00304
,SI-UK,India,MSc in Supply Chain Management - Full Time,0.0,0,20250,No,No,Indian,Failed,0.0,0.0,missing,23.0,2022,email_00263,fname_00244,lname_00181
,SI-UK,India,MSc in Supply Chain Management - Full Time,0.0,0,20250,missing,missing,Indian,Passed,0.0,0.0,missing,20.9,2022,email_00348,fname_00156,lname_00295
,IDP Education,India,MSc Marketing and Strategy,0.0,0,21250,missing,missing,Indian,Passed,0.0,0.0,missing,22.0,2022,email_00315,fname_00046,lname_00273
,Edwise,India,MSc in Supply Chain Management - Full Time,0.0,0,20250,missing,missing,Indian,Passed,0.0,0.0,missing,23.1,2022,email_00222,fname_00204,lname_00000
